Ticker,Strike,Bid,Ask,Last,IVM,Volm,Ticker,Strike,Bid,Ask,Last,IVM,Volm
HSI 6/27/25 C16800,16800,3171,3270,3236,25.28973579,0,HSI 6/27/25 P16800,16800,1330,1401,1339,23.75583839,0
HSI 6/27/25 C17000,17000,3046,3143,3113,24.99157715,0,HSI 6/27/25 P17000,17000,1403,1475,1416,23.65808105,0
HSI 6/27/25 C17200,17200,2924,3021,2973,24.72079468,0,HSI 6/27/25 P17200,17200,1475,1548,1512,23.52382851,0
HSI 6/27/25 C17400,17400,2805,2901,2853,24.45465088,0,HSI 6/27/25 P17400,17400,1555,1629,1592,23.45173836,0
HSI 6/27/25 C17600,17600,2690,2786,2738,24.21896172,0,HSI 6/27/25 P17600,17600,1638,1713,1676,23.38751793,0
HSI 6/27/25 C17800,17800,2578,2673,2626,23.98427582,0,HSI 6/27/25 P17800,17800,1724,1801,1763,23.33583069,0
HSI 6/27/25 C18000,18000,2469,2562,2516,23.75959396,0,HSI 6/27/25 P18000,18000,1814,1891,1853,23.29035378,0
HSI 6/27/25 C18200,18200,2364,2456,2410,23.56078529,0,HSI 6/27/25 P18200,18200,1907,1986,1947,23.26158142,0
HSI 6/27/25 C18400,18400,2262,2353,2308,23.37039185,0,HSI 6/27/25 P18400,18400,2004,2083,2044,23.23821449,0
HSI 6/27/25 C18600,18600,2163,2252,2208,23.18246078,0,HSI 6/27/25 P18600,18600,2104,2184,2144,23.22563553,0
HSI 6/27/25 C18800,18800,2067,2155,2111,23.00739861,0,HSI 6/27/25 P18800,18800,2207,2289,2248,23.22392273,0
HSI 6/27/25 C19000,19000,1975,2062,2019,22.85022545,0,HSI 6/27/25 P19000,19000,2314,2396,2355,23.22801018,0
HSI 6/27/25 C19200,19200,1886,1971,1929,22.69482994,0,HSI 6/27/25 P19200,19200,2424,2507,2466,23.24370193,0
HSI 6/27/25 C19400,19400,1801,1885,1859,22.5625515,0,HSI 6/27/25 P19400,19400,2546,2630,2562,23.36175919,0
HSI 6/27/25 C19600,19600,1719,1801,1774,22.43235397,0,HSI 6/27/25 P19600,19600,2662,2747,2677,23.39185715,0
HSI 6/27/25 C19800,19800,1640,1721,1691,22.31519508,0,HSI 6/27/25 P19800,19800,2782,2868,2794,23.44113731,0
HSI 6/27/25 C20000,20000,1564,1643,1611,22.20092964,0,HSI 6/27/25 P20000,20000,2904,2993,2914,23.49998665,0
HSI 6/27/25 C20400,20400,1420,1498,1460,21.99884415,0,HSI 6/27/25 P20400,20400,3159,3249,3163,23.64547157,0
30-Dec-25 (852d); CSize 50,,,,,,,,,,,,,
HSI 12/30/25 C16400,16400,0,0,3819,0,0,HSI 12/30/25 P16400,16400,0,0,1470,0,0
HSI 12/30/25 C16600,16600,0,0,3692,0,0,HSI 12/30/25 P16600,16600,0,0,1543,0,0
HSI 12/30/25 C16800,16800,0,0,3568,0,0,HSI 12/30/25 P16800,16800,0,0,1619,0,0
HSI 12/30/25 C17000,17000,0,0,3446,0,0,HSI 12/30/25 P17000,17000,0,0,1697,0,0
HSI 12/30/25 C17200,17200,0,0,3326,0,0,HSI 12/30/25 P17200,17200,0,0,1777,0,0
HSI 12/30/25 C17400,17400,0,0,3209,0,0,HSI 12/30/25 P17400,17400,0,0,1860,0,0
HSI 12/30/25 C17600,17600,0,0,3094,0,0,HSI 12/30/25 P17600,17600,0,0,1945,0,0
HSI 12/30/25 C17800,17800,0,0,2981,0,0,HSI 12/30/25 P17800,17800,0,0,2032,0,0
HSI 12/30/25 C18000,18000,0,0,2871,0,0,HSI 12/30/25 P18000,18000,0,0,2122,0,0
HSI 12/30/25 C18200,18200,0,0,2763,0,0,HSI 12/30/25 P18200,18200,0,0,2214,0,0
HSI 12/30/25 C18400,18400,0,0,2657,0,0,HSI 12/30/25 P18400,18400,0,0,2308,0,0
HSI 12/30/25 C18600,18600,0,0,2554,0,0,HSI 12/30/25 P18600,18600,0,0,2405,0,0
HSI 12/30/25 C18800,18800,0,0,2453,0,0,HSI 12/30/25 P18800,18800,0,0,2504,0,0
HSI 12/30/25 C19000,19000,0,0,2359,0,0,HSI 12/30/25 P19000,19000,0,0,2610,0,0
HSI 12/30/25 C19200,19200,0,0,2267,0,0,HSI 12/30/25 P19200,19200,0,0,2718,0,0
HSI 12/30/25 C19400,19400,0,0,2178,0,0,HSI 12/30/25 P19400,19400,0,0,2829,0,0
HSI 12/30/25 C19600,19600,0,0,2091,0,0,HSI 12/30/25 P19600,19600,0,0,2942,0,0
HSI 12/30/25 C19800,19800,0,0,2007,0,0,HSI 12/30/25 P19800,19800,0,0,3058,0,0
HSI 12/30/25 C20000,20000,0,0,1925,0,0,HSI 12/30/25 P20000,20000,0,0,3176,0,0
HSI 12/30/25 C20400,20400,0,0,1768,0,0,HSI 12/30/25 P20400,20400,0,0,3419,0,0
30-Dec-26 (1217d); CSize 50,,,,,,,,,,,,,
HSI 12/30/26 C16400,16400,0,0,4420,0,0,HSI 12/30/26 P16400,16400,0,0,1872,0,0
HSI 12/30/26 C16600,16600,0,0,4297,0,0,HSI 12/30/26 P16600,16600,0,0,1949,0,0
HSI 12/30/26 C16800,16800,0,0,4176,0,0,HSI 12/30/26 P16800,16800,0,0,2028,0,0
HSI 12/30/26 C17000,17000,0,0,4056,0,0,HSI 12/30/26 P17000,17000,0,0,2108,0,0
HSI 12/30/26 C17200,17200,0,0,3938,0,0,HSI 12/30/26 P17200,17200,0,0,2190,0,0
HSI 12/30/26 C17400,17400,0,0,3822,0,0,HSI 12/30/26 P17400,17400,0,0,2274,0,0
HSI 12/30/26 C17600,17600,0,0,3708,0,0,HSI 12/30/26 P17600,17600,0,0,2360,0,0
HSI 12/30/26 C17800,17800,0,0,3596,0,0,HSI 12/30/26 P17800,17800,0,0,2448,0,0
